what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"win32",1254461082109
locale,sysinfo,,,"en_US",1254461082109
processors,sysinfo,,,"4",1254461082109
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1254461082109
java.runtime.version,sysinfo,,,"1.6.0_15-b03",1254461082109
java.specification.name,sysinfo,,,"Java Platform API Specification",1254461082109
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1254461082109
java.specification.version,sysinfo,,,"1.6",1254461082109
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1254461082109
java.version,sysinfo,,,"1.6.0_15",1254461082109
java.vm.info,sysinfo,,,"mixed mode, sharing",1254461082109
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1254461082109
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1254461082109
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1254461082109
java.vm.specification.version,sysinfo,,,"1.0",1254461082109
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1254461082109
java.vm.version,sysinfo,,,"14.1-b02",1254461082109
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1254461082234
started,bundle,org.eclipse.mylyn.context.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.core",1254461082312
started,bundle,org.eclipse.mylyn.context.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.ui",1254461082406
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui",1254461082781
started,bundle,org.eclipse.mylyn.team.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.team.ui",1254461082828
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.monitor.ui",1254461083375
started,bundle,org.eclipse.cdt.managedbuilder.ui,5.1.0.200909110608,"org.eclipse.cdt.managedbuilder.ui",1254461095562
started,bundle,org.eclipse.cdt.managedbuilder.core,6.0.0.200909110608,"org.eclipse.cdt.managedbuilder.core",1254461096062
