what,kind,bundleId,bundleVersion,description,time
java.vm.info,sysinfo,,,"mixed mode, sharing",1254456450562
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1254456450562
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1254456450562
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1254456450562
java.vm.specification.version,sysinfo,,,"1.0",1254456450562
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1254456450562
java.vm.version,sysinfo,,,"14.1-b02",1254456450562
started,bundle,org.eclipse.equinox.p2.ui,1.0.100.v20090527-1812,"org.eclipse.equinox.p2.ui",1254456509093
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk",1254456509109
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.update",1254456509125
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1254456509421
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1254456522984
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.100.v20090525,"org.eclipse.equinox.p2.updatesite",1254456524468
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1254456526265
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1254456527953
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1254456534718
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1254456543250
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1254456544609
started,bundle,org.eclipse.equinox.p2.touchpoint.natives,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.touchpoint.natives",1254456556437
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1254456565796
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1254456566078
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1254456611203
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1254456611281
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1254457673734
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1254457673828
