what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.core,5.1.1.200909110608,"org.eclipse.cdt.core",1254456450562
started,bundle,org.eclipse.cdt.make.ui,6.0.1.200909110608,"org.eclipse.cdt.make.ui",1254456450562
started,bundle,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui",1254456450562
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.core",1254456450562
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.ui",1254456450562
started,bundle,org.eclipse.mylyn.commons.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.commons.ui",1254456450562
started,bundle,org.eclipse.mylyn.context.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.core",1254456450562
started,bundle,org.eclipse.mylyn.context.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.ui",1254456450562
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.monitor.ui",1254456450562
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui",1254456450562
started,bundle,org.eclipse.mylyn.team.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.team.ui",1254456450562
started,bundle,org.eclipse.team.cvs.ui,3.3.201.R35x_v20090826-0905,"org.eclipse.team.cvs.ui",1254456450562
started,bundle,org.epic.perleditor,0.5.38,"org.epic.perleditor",1254456450562
os,sysinfo,,,"win32",1254456450562
arch,sysinfo,,,"x86",1254456450562
ws,sysinfo,,,"win32",1254456450562
locale,sysinfo,,,"en_US",1254456450562
processors,sysinfo,,,"4",1254456450562
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1254456450562
java.runtime.version,sysinfo,,,"1.6.0_15-b03",1254456450562
java.specification.name,sysinfo,,,"Java Platform API Specification",1254456450562
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1254456450562
java.specification.version,sysinfo,,,"1.6",1254456450562
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1254456450562
java.version,sysinfo,,,"1.6.0_15",1254456450562
